,epypes_overhead,time_got_images,time_got_vision_response,time_imacq_reacted_to_request,time_vision_request,time_visionpipe_pub,time_visionpipe_reacted,vision_processing_time
38,0.00010418891906738281,1504261290.300231,1504261290.342962,1504261290.300134,1504261290.2994208,1504261290.34236,1504261290.300894,0.04116201400756836
39,0.00011730194091796875,1504261290.446335,1504261290.45551,1504261290.446236,1504261290.4456792,1504261290.455022,1504261290.447079,0.007627010345458984
40,0.00010442733764648438,1504261290.558785,1504261290.5702422,1504261290.558696,1504261290.558243,1504261290.5697331,1504261290.559417,0.01001119613647461
41,0.00010204315185546875,1504261290.6756852,1504261290.6827562,1504261290.675596,1504261290.674946,1504261290.6822011,1504261290.6764128,0.0054819583892822266
42,0.00014925003051757812,1504261290.784377,1504261290.8216121,1504261290.784252,1504261290.783655,1504261290.820812,1504261290.785044,0.035378217697143555
43,0.00010442733764648438,1504261290.9243908,1504261290.9333591,1504261290.924299,1504261290.923729,1504261290.9328158,1504261290.925128,0.00738215446472168
44,0.00012683868408203125,1504261291.036354,1504261291.051489,1504261291.036253,1504261291.0358348,1504261291.050882,1504261291.042738,0.007775068283081055
45,0.00010371208190917969,1504261291.1552022,1504261291.191159,1504261291.155103,1504261291.154594,1504261291.1906571,1504261291.155881,0.034477949142456055
46,0.00012063980102539062,1504261291.296164,1504261291.337694,1504261291.296067,1504261291.2953558,1504261291.3372412,1504261291.299584,0.03735494613647461
47,0.00014162063598632812,1504261291.441973,1504261291.450894,1504261291.441875,1504261291.441236,1504261291.450031,1504261291.442687,0.006909847259521484
48,0.0001220703125,1504261291.5543659,1504261291.599968,1504261291.554204,1504261291.5536032,1504261291.599363,1504261291.555219,0.04383111000061035
49,0.0001220703125,1504261291.7020302,1504261291.749459,1504261291.701913,1504261291.701534,1504261291.7483552,1504261291.712715,0.03515005111694336
