,epypes_overhead,time_got_images,time_got_vision_response,time_imacq_reacted_to_request,time_vision_request,time_visionpipe_pub,time_visionpipe_reacted,vision_processing_time
0,0.00010633468627929688,1504261285.21513,1504261285.350135,1504261285.207905,1504261285.207197,1504261285.349566,1504261285.216065,0.13301324844360352
1,0.00010991096496582031,1504261285.454196,1504261285.4635699,1504261285.451702,1504261285.4510772,1504261285.461353,1504261285.454942,0.006080150604248047
2,0.00010514259338378906,1504261285.56884,1504261285.5781372,1504261285.564824,1504261285.56424,1504261285.5776708,1504261285.5695,0.00786900520324707
3,0.00010466575622558594,1504261285.6848269,1504261285.720715,1504261285.680201,1504261285.679646,1504261285.7201998,1504261285.685846,0.03405475616455078
4,0.00011968612670898438,1504261285.827668,1504261285.836499,1504261285.8248682,1504261285.824244,1504261285.835884,1504261285.828373,0.00721287727355957
5,0.00011658668518066406,1504261285.94484,1504261285.955459,1504261285.940327,1504261285.939722,1504261285.954963,1504261285.9456909,0.008858919143676758
6,0.00013971328735351562,1504261286.063849,1504261286.099044,1504261286.057821,1504261286.057181,1504261286.095524,1504261286.064686,0.03026294708251953
7,0.00012803077697753906,1504261286.213741,1504261286.266176,1504261286.200908,1504261286.200059,1504261286.265652,1504261286.216396,0.0489199161529541
8,0.00013375282287597656,1504261286.379744,1504261286.406618,1504261286.370385,1504261286.3699179,1504261286.406205,1504261286.380405,0.025433778762817383
9,0.0001270771026611328,1504261286.512455,1504261286.5462248,1504261286.510112,1504261286.5096252,1504261286.545651,1504261286.51325,0.032090187072753906
10,0.00012969970703125,1504261286.65242,1504261286.7113101,1504261286.650444,1504261286.650045,1504261286.710756,1504261286.653153,0.05724191665649414
11,0.0001266002655029297,1504261286.813728,1504261286.8235068,1504261286.8135738,1504261286.812989,1504261286.8229592,1504261286.814705,0.007850885391235352
12,0.00015425682067871094,1504261286.9245188,1504261286.967068,1504261286.924355,1504261286.9238179,1504261286.9662468,1504261286.9253068,0.040342092514038086
13,0.00011181831359863281,1504261287.0707169,1504261287.08054,1504261287.070577,1504261287.0699992,1504261287.079995,1504261287.0716438,0.00797891616821289
14,0.000164031982421875,1504261287.184237,1504261287.194127,1504261287.184093,1504261287.183584,1504261287.193295,1504261287.185156,0.007555723190307617
15,0.00013327598571777344,1504261287.300488,1504261287.3173718,1504261287.300334,1504261287.295857,1504261287.3166678,1504261287.301474,0.014824390411376953
16,0.0001087188720703125,1504261287.423404,1504261287.47914,1504261287.423312,1504261287.4227798,1504261287.478494,1504261287.424001,0.054170846939086914
17,0.00014734268188476562,1504261287.584568,1504261287.59939,1504261287.584407,1504261287.583785,1504261287.5986822,1504261287.5856519,0.012589216232299805
18,0.00011777877807617188,1504261287.705419,1504261287.721919,1504261287.705299,1504261287.704936,1504261287.721455,1504261287.713697,0.007452964782714844
19,0.00018787384033203125,1504261287.8243399,1504261287.872784,1504261287.824239,1504261287.823649,1504261287.871926,1504261287.8338041,0.03751802444458008
20,0.00015306472778320312,1504261287.9740071,1504261288.014818,1504261287.9738722,1504261287.97326,1504261288.0135949,1504261287.974735,0.038175106048583984
21,0.00010633468627929688,1504261288.1166499,1504261288.125643,1504261288.1165051,1504261288.1153831,1504261288.125094,1504261288.117564,0.007217884063720703
22,9.679794311523438e-05,1504261288.230208,1504261288.238476,1504261288.230117,1504261288.229575,1504261288.237995,1504261288.2309172,0.006782054901123047
23,0.00011277198791503906,1504261288.3404531,1504261288.371855,1504261288.340354,1504261288.339681,1504261288.371273,1504261288.341111,0.02986001968383789
24,0.00010275840759277344,1504261288.474987,1504261288.491721,1504261288.474896,1504261288.4744399,1504261288.491269,1504261288.4756632,0.015305042266845703
25,0.0001385211944580078,1504261288.5943968,1504261288.635853,1504261288.594301,1504261288.593667,1504261288.635314,1504261288.595186,0.03964996337890625
26,0.00012135505676269531,1504261288.738276,1504261288.746243,1504261288.738177,1504261288.737611,1504261288.745471,1504261288.738938,0.00613713264465332
27,0.00010395050048828125,1504261288.852278,1504261288.859432,1504261288.852184,1504261288.851576,1504261288.8588958,1504261288.852891,0.005686044692993164
28,0.00011396408081054688,1504261288.966976,1504261288.9760299,1504261288.966867,1504261288.9633942,1504261288.9755259,1504261288.967628,0.007578134536743164
29,0.00011205673217773438,1504261289.0798578,1504261289.119603,1504261289.079746,1504261289.079175,1504261289.118131,1504261289.08052,0.037097930908203125
30,0.00012612342834472656,1504261289.225823,1504261289.265069,1504261289.225726,1504261289.225013,1504261289.264568,1504261289.226569,0.03767991065979004
31,0.00014257431030273438,1504261289.366818,1504261289.3857322,1504261289.3667269,1504261289.366294,1504261289.385191,1504261289.367446,0.01741170883178711
32,0.00013637542724609375,1504261289.491149,1504261289.534868,1504261289.491057,1504261289.4901912,1504261289.534296,1504261289.495809,0.03818202018737793
33,0.00024080276489257812,1504261289.640404,1504261289.687249,1504261289.640297,1504261289.6394281,1504261289.686202,1504261289.64115,0.04428696632385254
34,0.00012493133544921875,1504261289.7919402,1504261289.800158,1504261289.791834,1504261289.7912169,1504261289.799566,1504261289.792604,0.006642341613769531
35,0.00010538101196289062,1504261289.907167,1504261289.915702,1504261289.90706,1504261289.9049869,1504261289.915091,1504261289.907825,0.006940126419067383
36,0.0003249645233154297,1504261290.018168,1504261290.074806,1504261290.017938,1504261290.0162282,1504261290.0725062,1504261290.020957,0.04965615272521973
37,0.0001628398895263672,1504261290.178454,1504261290.194286,1504261290.178335,1504261290.177792,1504261290.193283,1504261290.179235,0.013426780700683594
